Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      9   12.3%          LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      9  100.0%            Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
     70    6.8%      LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
     68   97.1%        LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
     57   83.8%          LazyCompile: *getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
     38   66.7%            Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
     19   33.3%            LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
     11   16.2%          LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
     11  100.0%            Function: ^getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      1    1.4%        Function: ^getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
      1  100.0%          Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:10:13
      1  100.0%            Function: ^lex C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:85:18
      1    1.4%        Function: ^assertExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:81:29
      1  100.0%          LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
      1  100.0%            LazyCompile: *attribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1216:22
